"","date","team1","team2","map","event"
"1","20/10/19","DETONA (16)","Isurus (10)","trn
                      Train","ESL Pro League Season 10 Americas"
"2","20/10/19","ORDER (19)","AVANT (15)","d2
                      Dust2","eXTREMESLAND 2019 Oceania Regional Finals"
"3","19/10/19","9z (16)","Malvinas (12)","d2
                      Dust2","La Liga Pro Trust 2019 - Clausura Finals"
"4","19/10/19","Malvinas (16)","9z (13)","vtg
                      Vertigo","La Liga Pro Trust 2019 - Clausura Finals"
"5","19/10/19","9z (16)","Malvinas (6)","inf
                      Inferno","La Liga Pro Trust 2019 - Clausura Finals"
"6","19/10/19","Windigo (11)","HellRaisers (16)","inf
                      Inferno","ESL Pro League Season 10 Europe"
"7","19/10/19","HellRaisers (16)","Windigo (14)","trn
                      Train","ESL Pro League Season 10 Europe"
"8","19/10/19","HAVU (12)","CR4ZY (16)","d2
                      Dust2","DreamHack Open Rotterdam 2019"
"9","19/10/19","CR4ZY (5)","HAVU (16)","trn
                      Train","DreamHack Open Rotterdam 2019"
"10","19/10/19","HAVU (10)","CR4ZY (16)","inf
                      Inferno","DreamHack Open Rotterdam 2019"
"11","19/10/19","Natus Vincere (16)","G2 (13)","d2
                      Dust2","ESL Pro League Season 10 Europe"
"12","19/10/19","Natus Vincere (14)","G2 (16)","mrg
                      Mirage","ESL Pro League Season 10 Europe"
"13","19/10/19","Natus Vincere (16)","G2 (10)","ovp
                      Overpass","ESL Pro League Season 10 Europe"
"14","19/10/19","SJ (16)","Helsinki REDS (6)","nuke
                      Nuke","Elisa Viihde League"
"15","19/10/19","Helsinki REDS (8)","SJ (16)","inf
                      Inferno","Elisa Viihde League"
"16","19/10/19","SJ (9)","Helsinki REDS (16)","d2
                      Dust2","Elisa Viihde League"
"17","19/10/19","TYLOO (16)","OneThree (12)","inf
                      Inferno","eXTREMESLAND 2019 China Regional Finals"
"18","19/10/19","OneThree (5)","TYLOO (16)","d2
                      Dust2","eXTREMESLAND 2019 China Regional Finals"
"19","19/10/19","Wisła Kraków (16)","AVEZ (12)","d2
                      Dust2","Polish Esport League - WarmUp PGA"
"20","19/10/19","Wisła Kraków (11)","AVEZ (16)","trn
                      Train","Polish Esport League - WarmUp PGA"
"21","19/10/19","AVEZ (7)","Wisła Kraków (16)","inf
                      Inferno","Polish Esport League - WarmUp PGA"
"22","19/10/19","Unique (16)","Izako Boars (7)","vtg
                      Vertigo","Alienware Game Arena 2019 Finals"
"23","19/10/19","Izako Boars (6)","Unique (16)","nuke
                      Nuke","Alienware Game Arena 2019 Finals"
"24","19/10/19","Hard Legion (14)","Heroic (16)","ovp
                      Overpass","DreamHack Open Rotterdam 2019"
"25","19/10/19","Hard Legion (6)","Heroic (16)","vtg
                      Vertigo","DreamHack Open Rotterdam 2019"
"26","19/10/19","Heroic (8)","Hard Legion (16)","d2
                      Dust2","DreamHack Open Rotterdam 2019"
"27","19/10/19","Lucid Dream (16)","Alpha Red (11)","d2
                      Dust2","ESL Pro League Season 10 Asia-Pacific"
"28","19/10/19","Alpha Red (13)","Lucid Dream (16)","inf
                      Inferno","ESL Pro League Season 10 Asia-Pacific"
"29","19/10/19","DREAMSELLER (8)","MiTH.Maple (16)","inf
                      Inferno","eXTREMESLAND 2019 Thailand Regional Finals"
"30","19/10/19","DREAMSELLER (10)","MiTH.Maple (16)","ovp
                      Overpass","eXTREMESLAND 2019 Thailand Regional Finals"
"31","19/10/19","MiTH.Maple (7)","DREAMSELLER (16)","d2
                      Dust2","eXTREMESLAND 2019 Thailand Regional Finals"
"32","19/10/19","Helsinki REDS (16)","KOVA (5)","trn
                      Train","Elisa Viihde League"
"33","19/10/19","KOVA (3)","Helsinki REDS (16)","d2
                      Dust2","Elisa Viihde League"
"34","19/10/19","EHOME (16)","OneThree (11)","trn
                      Train","eXTREMESLAND 2019 China Regional Finals"
"35","19/10/19","OneThree (16)","EHOME (13)","inf
                      Inferno","eXTREMESLAND 2019 China Regional Finals"
"36","19/10/19","EHOME (16)","OneThree (11)","mrg
                      Mirage","eXTREMESLAND 2019 China Regional Finals"
"37","19/10/19","CR4ZY (16)","Asterion (13)","inf
                      Inferno","DreamHack Open Rotterdam 2019"
"38","19/10/19","Asterion (11)","CR4ZY (16)","trn
                      Train","DreamHack Open Rotterdam 2019"
"39","19/10/19","BOOT (16)","BTRG (7)","d2
                      Dust2","ESL Pro League Season 10 Asia-Pacific"
"40","19/10/19","BOOT (16)","BTRG (7)","mrg
                      Mirage","ESL Pro League Season 10 Asia-Pacific"
"41","19/10/19","Grayhound (16)","Chiefs (8)","d2
                      Dust2","eXTREMESLAND 2019 Oceania Regional Finals"
"42","19/10/19","Grayhound (16)","Chiefs (10)","nuke
                      Nuke","eXTREMESLAND 2019 Oceania Regional Finals"
"43","19/10/19","Chiefs (19)","Grayhound (17)","mrg
                      Mirage","eXTREMESLAND 2019 Oceania Regional Finals"
"44","19/10/19","PACT (16)","Ambush (4)","inf
                      Inferno","Alienware Game Arena 2019 Finals"
"45","19/10/19","Ambush (9)","PACT (16)","d2
                      Dust2","Alienware Game Arena 2019 Finals"
"46","19/10/19","PACT (17)","Ambush (19)","vtg
                      Vertigo","Alienware Game Arena 2019 Finals"
"47","19/10/19","Beyond (16)","VTE (3)","trn
                      Train","eXTREMESLAND 2019 Thailand Regional Finals"
"48","19/10/19","VTE (0)","Beyond (16)","inf
                      Inferno","eXTREMESLAND 2019 Thailand Regional Finals"
"49","19/10/19","SJ (16)","KOVA (12)","vtg
                      Vertigo","Elisa Viihde League"
"50","19/10/19","Hard Legion (16)","Besiktas (3)","mrg
                      Mirage","DreamHack Open Rotterdam 2019"
"51","19/10/19","KOVA (4)","SJ (16)","trn
                      Train","Elisa Viihde League"
"52","19/10/19","Besiktas (5)","Hard Legion (16)","trn
                      Train","DreamHack Open Rotterdam 2019"
"53","19/10/19","Lucid Dream (16)","Astro (2)","nuke
                      Nuke","eXTREMESLAND 2019 Thailand Regional Finals"
"54","19/10/19","Lucid Dream (16)","Astro (6)","mrg
                      Mirage","eXTREMESLAND 2019 Thailand Regional Finals"
"55","19/10/19","TYLOO (13)","ViCi (16)","ovp
                      Overpass","eXTREMESLAND 2019 China Regional Finals"
"56","19/10/19","ViCi (16)","TYLOO (11)","mrg
                      Mirage","eXTREMESLAND 2019 China Regional Finals"
"57","19/10/19","TYLOO (16)","ViCi (7)","inf
                      Inferno","eXTREMESLAND 2019 China Regional Finals"
"58","19/10/19","AVANT (12)","Chiefs (16)","ovp
                      Overpass","eXTREMESLAND 2019 Oceania Regional Finals"
"59","19/10/19","AVANT (12)","Chiefs (16)","nuke
                      Nuke","eXTREMESLAND 2019 Oceania Regional Finals"
"60","19/10/19","Chiefs (8)","AVANT (16)","d2
                      Dust2","eXTREMESLAND 2019 Oceania Regional Finals"
"61","19/10/19","Sharks (16)","Isurus (13)","inf
                      Inferno","ESL Pro League Season 10 Americas"
"62","19/10/19","Isurus (10)","Sharks (16)","nuke
                      Nuke","ESL Pro League Season 10 Americas"
"63","19/10/19","Legend (4)","Alpha Red (16)","d2
                      Dust2","eXTREMESLAND 2019 Thailand Regional Finals"
"64","19/10/19","Alpha Red (16)","Legend (0)","trn
                      Train","eXTREMESLAND 2019 Thailand Regional Finals"
"65","19/10/19","ORDER (20)","Grayhound (22)","nuke
                      Nuke","eXTREMESLAND 2019 Oceania Regional Finals"
"66","19/10/19","Grayhound (16)","ORDER (4)","inf
                      Inferno","eXTREMESLAND 2019 Oceania Regional Finals"
"67","19/10/19","Infinity (13)","DETONA (16)","trn
                      Train","ESL Pro League Season 10 Americas"
"68","19/10/19","DETONA (16)","Infinity (8)","inf
                      Inferno","ESL Pro League Season 10 Americas"
"69","18/10/19","Malvinas (16)","Sinisters (4)","mrg
                      Mirage","La Liga Pro Trust 2019 - Clausura Finals"
"70","18/10/19","Malvinas (16)","Sinisters (14)","ovp
                      Overpass","La Liga Pro Trust 2019 - Clausura Finals"
"71","18/10/19","HellRaisers (10)","G2 (16)","d2
                      Dust2","ESL Pro League Season 10 Europe"
"72","18/10/19","HellRaisers (13)","G2 (16)","vtg
                      Vertigo","ESL Pro League Season 10 Europe"
"73","18/10/19","9z (16)","Hawks (1)","trn
                      Train","La Liga Pro Trust 2019 - Clausura Finals"
"74","18/10/19","Hawks (11)","9z (16)","inf
                      Inferno","La Liga Pro Trust 2019 - Clausura Finals"
"75","18/10/19","SMASH (12)","Ancient (16)","d2
                      Dust2","United Masters League Season 2 Qualifier 3"
"76","18/10/19","Ancient (11)","SMASH (16)","nuke
                      Nuke","United Masters League Season 2 Qualifier 3"
"77","18/10/19","SMASH (16)","Ancient (19)","inf
                      Inferno","United Masters League Season 2 Qualifier 3"
"78","18/10/19","HAVU (14)","forZe (16)","nuke
                      Nuke","DreamHack Open Rotterdam 2019"
"79","18/10/19","Windigo (10)","Natus Vincere (16)","inf
                      Inferno","ESL Pro League Season 10 Europe"
"80","18/10/19","Natus Vincere (16)","Windigo (7)","ovp
                      Overpass","ESL Pro League Season 10 Europe"
"81","18/10/19","Helsinki REDS (16)","Conquer (2)","inf
                      Inferno","Elisa Viihde League"
"82","18/10/19","Conquer (16)","Helsinki REDS (9)","nuke
                      Nuke","Elisa Viihde League"
"83","18/10/19","Conquer (14)","Helsinki REDS (16)","trn
                      Train","Elisa Viihde League"
"84","18/10/19","SMASH (16)","SKADE (7)","trn
                      Train","United Masters League Season 2 Qualifier 3"
"85","18/10/19","SMASH (7)","SKADE (16)","inf
                      Inferno","United Masters League Season 2 Qualifier 3"
"86","18/10/19","SMASH (16)","SKADE (5)","nuke
                      Nuke","United Masters League Season 2 Qualifier 3"
"87","18/10/19","Heroic (14)","AVANGAR (16)","inf
                      Inferno","DreamHack Open Rotterdam 2019"
"88","18/10/19","CR4ZY (13)","HAVU (16)","d2
                      Dust2","DreamHack Open Rotterdam 2019"
"89","18/10/19","Ancient (16)","pro100 (2)","trn
                      Train","United Masters League Season 2 Qualifier 3"
"90","18/10/19","Ancient (16)","pro100 (6)","nuke
                      Nuke","United Masters League Season 2 Qualifier 3"
"91","18/10/19","Conquer (9)","KOVA (16)","nuke
                      Nuke","Elisa Viihde League"
"92","18/10/19","KOVA (16)","Conquer (5)","mrg
                      Mirage","Elisa Viihde League"
"93","18/10/19","BTRG (11)","Alpha Red (16)","inf
                      Inferno","ESL Pro League Season 10 Asia-Pacific"
"94","18/10/19","Alpha Red (16)","BTRG (11)","d2
                      Dust2","ESL Pro League Season 10 Asia-Pacific"
"95","18/10/19","Alpha Red (8)","BTRG (16)","mrg
                      Mirage","ESL Pro League Season 10 Asia-Pacific"
"96","18/10/19","Heroic (16)","Hard Legion (6)","ovp
                      Overpass","DreamHack Open Rotterdam 2019"
"97","18/10/19","Moops (11)","eSuba (16)","trn
                      Train","Tiger Masters Season 5 Finals"
"98","18/10/19","eSuba (16)","Moops (8)","mrg
                      Mirage","Tiger Masters Season 5 Finals"
"99","18/10/19","forZe (16)","Asterion (1)","inf
                      Inferno","DreamHack Open Rotterdam 2019"
"100","18/10/19","Lucid Dream (16)","BOOT (12)","d2
                      Dust2","ESL Pro League Season 10 Asia-Pacific"
