date,team1,team1_score,team2,team2_score,map,event,winner,win_margin
31/12/19,SKADE,16,Akatsuki,4,Dust2,dAT Cup,Akatsuki,12
31/12/19,SKADE,16,Akatsuki,3,Inferno,dAT Cup,Akatsuki,13
29/12/19,Bogatiri,16,S Nastupaushim,3,Nuke,HardCup 5,S Nastupaushim,13
29/12/19,S Nastupaushim,25,Bogatiri,28,Train,HardCup 5,Bogatiri,3
29/12/19,Phoenix,16,SKADE,10,Dust2,GG.BET Winter Cup,Phoenix,6
29/12/19,Phoenix,10,SKADE,16,Inferno,GG.BET Winter Cup,SKADE,6
29/12/19,SKADE,16,Phoenix,5,Train,GG.BET Winter Cup,Phoenix,11
29/12/19,SKADE,16,Phoenix,19,Overpass,GG.BET Winter Cup,Phoenix,3
29/12/19,SKADE,9,Phoenix,16,Mirage,GG.BET Winter Cup,SKADE,7
29/12/19,Nemiga,16,Juggernauts,11,Vertigo,LBET Invitational 2,Nemiga,5
29/12/19,Juggernauts,16,Nemiga,11,Inferno,LBET Invitational 2,Juggernauts,5
29/12/19,Nemiga,16,Juggernauts,11,Nuke,LBET Invitational 2,Nemiga,5
29/12/19,Bogatiri,16,GNS,14,Dust2,HardCup 5,Bogatiri,2
29/12/19,Bogatiri,14,GNS,16,Mirage,HardCup 5,GNS,2
29/12/19,GNS,9,Bogatiri,16,Inferno,HardCup 5,GNS,7
29/12/19,S Nastupaushim,16,SG.pro,10,Mirage,HardCup 5,S Nastupaushim,6
29/12/19,S Nastupaushim,9,SG.pro,16,Vertigo,HardCup 5,S Nastupaushim,7
29/12/19,S Nastupaushim,19,SG.pro,17,Dust2,HardCup 5,S Nastupaushim,2
29/12/19,MiTH.Maple,13,Nemiga,16,Overpass,LBET Invitational 2,Nemiga,3
29/12/19,MiTH.Maple,6,Nemiga,16,Inferno,LBET Invitational 2,MiTH.Maple,10
29/12/19,MiTH.Maple,16,Nemiga,13,Mirage,LBET Invitational 2,MiTH.Maple,3
29/12/19,Unique,15,SKADE,19,Train,dAT Cup,SKADE,4
29/12/19,Unique,16,SKADE,19,Nuke,dAT Cup,SKADE,3
29/12/19,SKADE,5,Unique,16,Overpass,dAT Cup,SKADE,11
29/12/19,MiTH.Maple,16,Invictus,12,Mirage,LBET Invitational 2,MiTH.Maple,4
29/12/19,Invictus,12,MiTH.Maple,16,Overpass,LBET Invitational 2,MiTH.Maple,4
29/12/19,In Young Ren,11,Lynn Vision,16,Dust2,NSET 2019,Lynn Vision,5
29/12/19,Lynn Vision,9,In Young Ren,16,Overpass,NSET 2019,Lynn Vision,7
29/12/19,In Young Ren,11,Lynn Vision,16,Inferno,NSET 2019,Lynn Vision,5
29/12/19,OneThree,14,Aster,16,Train,NSET 2019,Aster,2
29/12/19,OneThree,16,Aster,7,Dust2,NSET 2019,Aster,9
29/12/19,Aster,16,OneThree,13,Overpass,NSET 2019,Aster,3
28/12/19,PACT,13,SKADE,16,Inferno,EGB Siberian Frost,SKADE,3
28/12/19,PACT,14,SKADE,16,Nuke,EGB Siberian Frost,SKADE,2
28/12/19,FATE,16,Rocketlauncher$,14,Dust2,GG.BET Winter Cup,FATE,2
28/12/19,FATE,5,Rocketlauncher$,16,Inferno,GG.BET Winter Cup,FATE,11
28/12/19,Rocketlauncher$,16,FATE,13,Overpass,GG.BET Winter Cup,Rocketlauncher$,3
28/12/19,FATE,16,Rocketlauncher$,12,Vertigo,GG.BET Winter Cup,FATE,4
28/12/19,Rocketlauncher$,16,FATE,19,Mirage,GG.BET Winter Cup,FATE,3
28/12/19,Nemiga,4,Juggernauts,16,Mirage,LBET Invitational 2,Nemiga,12
28/12/19,Juggernauts,19,Nemiga,22,Inferno,LBET Invitational 2,Nemiga,3
28/12/19,Juggernauts,16,Nemiga,14,Nuke,LBET Invitational 2,Juggernauts,2
28/12/19,PACT,22,SG.pro,19,Nuke,EGB Siberian Frost,PACT,3
28/12/19,PACT,16,SG.pro,14,Train,EGB Siberian Frost,PACT,2
28/12/19,MiTH.Maple,12,Juggernauts,16,Train,LBET Invitational 2,Juggernauts,4
28/12/19,Juggernauts,16,MiTH.Maple,5,Mirage,LBET Invitational 2,MiTH.Maple,11
28/12/19,SKADE,16,Ambush,9,Inferno,GG.BET Winter Cup,Ambush,7
28/12/19,Ambush,16,SKADE,14,Train,GG.BET Winter Cup,Ambush,2
28/12/19,Ambush,17,SKADE,19,Overpass,GG.BET Winter Cup,SKADE,2
28/12/19,PACT,16,Project X,7,Dust2,EGB Siberian Frost,Project X,9
28/12/19,Invictus,12,Nemiga,16,Nuke,LBET Invitational 2,Nemiga,4
28/12/19,Invictus,14,Nemiga,16,Mirage,LBET Invitational 2,Nemiga,2
28/12/19,Project X,9,PACT,16,Mirage,EGB Siberian Frost,Project X,7
28/12/19,Project X,16,PACT,2,Inferno,EGB Siberian Frost,PACT,14
28/12/19,SKADE,16,DreamEaters,8,Inferno,dAT Cup,DreamEaters,8
28/12/19,DreamEaters,2,SKADE,16,Nuke,dAT Cup,DreamEaters,14
28/12/19,In Young Ren,9,OneThree,16,Inferno,NSET 2019,In Young Ren,7
28/12/19,In Young Ren,17,OneThree,19,Overpass,NSET 2019,OneThree,2
28/12/19,Lynn Vision,9,Aster,16,Inferno,NSET 2019,Lynn Vision,7
28/12/19,Aster,7,Lynn Vision,16,Vertigo,NSET 2019,Aster,9
28/12/19,Aster,16,Lynn Vision,6,Dust2,NSET 2019,Lynn Vision,10
28/12/19,Aster,16,D7G,8,Dust2,NSET 2019,D7G,8
28/12/19,D7G,17,Aster,19,Mirage,NSET 2019,Aster,2
28/12/19,In Young Ren,16,Absolute,9,Inferno,NSET 2019,Absolute,7
28/12/19,In Young Ren,16,Absolute,7,Train,NSET 2019,Absolute,9
28/12/19,In Young Ren,2,Absolute,16,Vertigo,NSET 2019,In Young Ren,14
27/12/19,SJ,4,SKADE,16,Train,GG.BET Winter Cup,SJ,12
27/12/19,SJ,16,SKADE,19,Mirage,GG.BET Winter Cup,SKADE,3
27/12/19,SJ,16,SKADE,7,Inferno,GG.BET Winter Cup,SKADE,9
