date,team1,team1_score,team2,team2_score,map,event,winner,win_margin
2019-01-04,ROG fl0m,7,ROG HOUNGOUNGAGNE,16,Overpass,ASUS ROG JTR Community Challenge Grand Finals 2019,ROG HOUNGOUNGAGNE,9
2019-01-04,ROG ceh9,16,ROG nooky,8,Cache,ASUS ROG JTR Community Challenge Grand Finals 2019,ROG ceh9,8
2019-01-04,ROG IzakOOO,16,ROG pronax,10,Mirage,ASUS ROG JTR Community Challenge Grand Finals 2019,ROG IzakOOO,6
2019-01-04,ROG SPUNJ,8,ROG HenryG,16,Dust2,ASUS ROG JTR Community Challenge Grand Finals 2019,ROG HenryG,8
2019-01-04,x-kom,16,PACT,9,Mirage,Pixel.bet Brawl: Nordic vs. Europe,x-kom,7
2019-01-04,PACT,11,x-kom,16,Inferno,Pixel.bet Brawl: Nordic vs. Europe,x-kom,5
2019-01-05,ROG nooky,20,ROG HenryG,22,Cache,ASUS ROG JTR Community Challenge Grand Finals 2019,ROG HenryG,2
2019-01-05,ROG nooky,9,ROG HenryG,16,Inferno,ASUS ROG JTR Community Challenge Grand Finals 2019,ROG HenryG,7
2019-01-05,ROG nooky,16,ROG HenryG,14,Dust2,ASUS ROG JTR Community Challenge Grand Finals 2019,ROG nooky,2
2019-01-05,London,16,Endpoint,7,Mirage,ESL Premiership Winter 2018 Finals,London,9
2019-01-05,Endpoint,8,London,16,Inferno,ESL Premiership Winter 2018 Finals,London,8
2019-01-05,London,14,Endpoint,16,Overpass,ESL Premiership Winter 2018 Finals,Endpoint,2
2019-01-05,ROG HOUNGOUNGAGNE,16,ROG IzakOOO,14,Dust2,ASUS ROG JTR Community Challenge Grand Finals 2019,ROG HOUNGOUNGAGNE,2
2019-01-05,Orgles5,11,Endpoint,16,Overpass,ESL Premiership Winter 2018 Finals,Endpoint,5
2019-01-05,Endpoint,16,Orgles5,9,Mirage,ESL Premiership Winter 2018 Finals,Endpoint,7
2019-01-05,ROG HenryG,19,ROG ceh9,22,Cache,ASUS ROG JTR Community Challenge Grand Finals 2019,ROG ceh9,3
2019-01-05,London,16,CeX,14,Dust2,ESL Premiership Winter 2018 Finals,London,2
2019-01-05,CeX,3,London,16,Inferno,ESL Premiership Winter 2018 Finals,London,13
2019-01-05,London,8,CeX,16,Overpass,ESL Premiership Winter 2018 Finals,CeX,8
2019-01-05,ROG fl0m,16,ROG pronax,12,Overpass,ASUS ROG JTR Community Challenge Grand Finals 2019,ROG fl0m,4
2019-01-05,ROG pronax,16,ROG fl0m,3,Inferno,ASUS ROG JTR Community Challenge Grand Finals 2019,ROG pronax,13
2019-01-05,ROG fl0m,16,ROG pronax,10,Train,ASUS ROG JTR Community Challenge Grand Finals 2019,ROG fl0m,6
2019-01-05,ROG nooky,16,ROG SPUNJ,8,Inferno,ASUS ROG JTR Community Challenge Grand Finals 2019,ROG nooky,8
2019-01-05,ROG nooky,16,ROG SPUNJ,5,Mirage,ASUS ROG JTR Community Challenge Grand Finals 2019,ROG nooky,11
2019-01-06,ROG IzakOOO,16,ROG ceh9,5,Overpass,ASUS ROG JTR Community Challenge Grand Finals 2019,ROG IzakOOO,11
2019-01-06,ROG IzakOOO,16,ROG ceh9,4,Nuke,ASUS ROG JTR Community Challenge Grand Finals 2019,ROG IzakOOO,12
2019-01-06,ROG HenryG,16,ROG HOUNGOUNGAGNE,13,Mirage,ASUS ROG JTR Community Challenge Grand Finals 2019,ROG HenryG,3
2019-01-06,ROG HenryG,16,ROG HOUNGOUNGAGNE,6,Inferno,ASUS ROG JTR Community Challenge Grand Finals 2019,ROG HenryG,10
2019-01-06,ROG HOUNGOUNGAGNE,16,ROG HenryG,11,Dust2,ASUS ROG JTR Community Challenge Grand Finals 2019,ROG HOUNGOUNGAGNE,5
2019-01-06,ROG IzakOOO,16,ROG fl0m,14,Inferno,ASUS ROG JTR Community Challenge Grand Finals 2019,ROG IzakOOO,2
2019-01-06,ROG IzakOOO,16,ROG fl0m,3,Train,ASUS ROG JTR Community Challenge Grand Finals 2019,ROG IzakOOO,13
2019-01-07,ALTERNATE aTTaX,9,HAVU,16,Train,United Masters League,HAVU,7
2019-01-07,HAVU,4,ALTERNATE aTTaX,16,Cache,United Masters League,ALTERNATE aTTaX,12
2019-01-07,ROG IzakOOO,16,ROG HenryG,11,Nuke,ASUS ROG JTR Community Challenge Grand Finals 2019,ROG IzakOOO,5
2019-01-07,ROG IzakOOO,16,ROG HenryG,10,Inferno,ASUS ROG JTR Community Challenge Grand Finals 2019,ROG IzakOOO,6
2019-01-07,GUNRUNNERS,11,cats,16,Cache,Pixel.bet Brawl: Nordic vs. Europe,cats,5
2019-01-07,cats,12,GUNRUNNERS,16,Inferno,Pixel.bet Brawl: Nordic vs. Europe,GUNRUNNERS,4
2019-01-07,GUNRUNNERS,8,cats,16,Mirage,Pixel.bet Brawl: Nordic vs. Europe,cats,8
2019-01-07,AGO,16,expert,13,Train,United Masters League,AGO,3
