Date,Team1,Team2,Map,Event
31/12/19,SKADE (16),Akatsuki (4),"d2
                      Dust2",dAT Cup
31/12/19,SKADE (16),Akatsuki (3),"inf
                      Inferno",dAT Cup
29/12/19,Bogatiri (16),S Nastupaushim (3),"nuke
                      Nuke",HardCup 5
29/12/19,S Nastupaushim (25),Bogatiri (28),"trn
                      Train",HardCup 5
29/12/19,Phoenix (16),SKADE (10),"d2
                      Dust2",GG.BET Winter Cup
29/12/19,Phoenix (10),SKADE (16),"inf
                      Inferno",GG.BET Winter Cup
29/12/19,SKADE (16),Phoenix (5),"trn
                      Train",GG.BET Winter Cup
29/12/19,SKADE (16),Phoenix (19),"ovp
                      Overpass",GG.BET Winter Cup
29/12/19,SKADE (9),Phoenix (16),"mrg
                      Mirage",GG.BET Winter Cup
29/12/19,Nemiga (16),Juggernauts (11),"vtg
                      Vertigo",LBET Invitational 2
29/12/19,Juggernauts (16),Nemiga (11),"inf
                      Inferno",LBET Invitational 2
29/12/19,Nemiga (16),Juggernauts (11),"nuke
                      Nuke",LBET Invitational 2
29/12/19,Bogatiri (16),GNS (14),"d2
                      Dust2",HardCup 5
29/12/19,Bogatiri (14),GNS (16),"mrg
                      Mirage",HardCup 5
29/12/19,GNS (9),Bogatiri (16),"inf
                      Inferno",HardCup 5
29/12/19,S Nastupaushim (16),SG.pro (10),"mrg
                      Mirage",HardCup 5
29/12/19,S Nastupaushim (9),SG.pro (16),"vtg
                      Vertigo",HardCup 5
29/12/19,S Nastupaushim (19),SG.pro (17),"d2
                      Dust2",HardCup 5
29/12/19,MiTH.Maple (13),Nemiga (16),"ovp
                      Overpass",LBET Invitational 2
29/12/19,MiTH.Maple (6),Nemiga (16),"inf
                      Inferno",LBET Invitational 2
29/12/19,MiTH.Maple (16),Nemiga (13),"mrg
                      Mirage",LBET Invitational 2
29/12/19,Unique (15),SKADE (19),"trn
                      Train",dAT Cup
29/12/19,Unique (16),SKADE (19),"nuke
                      Nuke",dAT Cup
29/12/19,SKADE (5),Unique (16),"ovp
                      Overpass",dAT Cup
29/12/19,MiTH.Maple (16),Invictus (12),"mrg
                      Mirage",LBET Invitational 2
29/12/19,Invictus (12),MiTH.Maple (16),"ovp
                      Overpass",LBET Invitational 2
29/12/19,In Young Ren (11),Lynn Vision (16),"d2
                      Dust2",NSET 2019
29/12/19,Lynn Vision (9),In Young Ren (16),"ovp
                      Overpass",NSET 2019
29/12/19,In Young Ren (11),Lynn Vision (16),"inf
                      Inferno",NSET 2019
29/12/19,OneThree (14),Aster (16),"trn
                      Train",NSET 2019
29/12/19,OneThree (16),Aster (7),"d2
                      Dust2",NSET 2019
29/12/19,Aster (16),OneThree (13),"ovp
                      Overpass",NSET 2019
28/12/19,PACT (13),SKADE (16),"inf
                      Inferno",EGB Siberian Frost
28/12/19,PACT (14),SKADE (16),"nuke
                      Nuke",EGB Siberian Frost
28/12/19,FATE (16),Rocketlauncher$ (14),"d2
                      Dust2",GG.BET Winter Cup
28/12/19,FATE (5),Rocketlauncher$ (16),"inf
                      Inferno",GG.BET Winter Cup
28/12/19,Rocketlauncher$ (16),FATE (13),"ovp
                      Overpass",GG.BET Winter Cup
28/12/19,FATE (16),Rocketlauncher$ (12),"vtg
                      Vertigo",GG.BET Winter Cup
28/12/19,Rocketlauncher$ (16),FATE (19),"mrg
                      Mirage",GG.BET Winter Cup
28/12/19,Nemiga (4),Juggernauts (16),"mrg
                      Mirage",LBET Invitational 2
28/12/19,Juggernauts (19),Nemiga (22),"inf
                      Inferno",LBET Invitational 2
28/12/19,Juggernauts (16),Nemiga (14),"nuke
                      Nuke",LBET Invitational 2
28/12/19,PACT (22),SG.pro (19),"nuke
                      Nuke",EGB Siberian Frost
28/12/19,PACT (16),SG.pro (14),"trn
                      Train",EGB Siberian Frost
28/12/19,MiTH.Maple (12),Juggernauts (16),"trn
                      Train",LBET Invitational 2
28/12/19,Juggernauts (16),MiTH.Maple (5),"mrg
                      Mirage",LBET Invitational 2
28/12/19,SKADE (16),Ambush (9),"inf
                      Inferno",GG.BET Winter Cup
28/12/19,Ambush (16),SKADE (14),"trn
                      Train",GG.BET Winter Cup
28/12/19,Ambush (17),SKADE (19),"ovp
                      Overpass",GG.BET Winter Cup
28/12/19,PACT (16),Project X (7),"d2
                      Dust2",EGB Siberian Frost
28/12/19,Invictus (12),Nemiga (16),"nuke
                      Nuke",LBET Invitational 2
28/12/19,Invictus (14),Nemiga (16),"mrg
                      Mirage",LBET Invitational 2
28/12/19,Project X (9),PACT (16),"mrg
                      Mirage",EGB Siberian Frost
28/12/19,Project X (16),PACT (2),"inf
                      Inferno",EGB Siberian Frost
28/12/19,SKADE (16),DreamEaters (8),"inf
                      Inferno",dAT Cup
28/12/19,DreamEaters (2),SKADE (16),"nuke
                      Nuke",dAT Cup
28/12/19,In Young Ren (9),OneThree (16),"inf
                      Inferno",NSET 2019
28/12/19,In Young Ren (17),OneThree (19),"ovp
                      Overpass",NSET 2019
28/12/19,Lynn Vision (9),Aster (16),"inf
                      Inferno",NSET 2019
28/12/19,Aster (7),Lynn Vision (16),"vtg
                      Vertigo",NSET 2019
28/12/19,Aster (16),Lynn Vision (6),"d2
                      Dust2",NSET 2019
28/12/19,Aster (16),D7G (8),"d2
                      Dust2",NSET 2019
28/12/19,D7G (17),Aster (19),"mrg
                      Mirage",NSET 2019
28/12/19,In Young Ren (16),Absolute (9),"inf
                      Inferno",NSET 2019
28/12/19,In Young Ren (16),Absolute (7),"trn
                      Train",NSET 2019
28/12/19,In Young Ren (2),Absolute (16),"vtg
                      Vertigo",NSET 2019
27/12/19,SJ (4),SKADE (16),"trn
                      Train",GG.BET Winter Cup
27/12/19,SJ (16),SKADE (19),"mrg
                      Mirage",GG.BET Winter Cup
27/12/19,SJ (16),SKADE (7),"inf
                      Inferno",GG.BET Winter Cup
27/12/19,Unique (10),Akatsuki (16),"d2
                      Dust2",dAT Cup
27/12/19,Akatsuki (13),Unique (16),"trn
                      Train",dAT Cup
27/12/19,Akatsuki (16),Unique (9),"ovp
                      Overpass",dAT Cup
27/12/19,SKADE (16),SG.pro (9),"trn
                      Train",EGB Siberian Frost
27/12/19,SG.pro (16),SKADE (3),"ovp
                      Overpass",EGB Siberian Frost
27/12/19,SG.pro (6),SKADE (16),"mrg
                      Mirage",EGB Siberian Frost
27/12/19,Phoenix (16),Ambush (6),"trn
                      Train",GG.BET Winter Cup
27/12/19,Ambush (16),Phoenix (14),"inf
                      Inferno",GG.BET Winter Cup
27/12/19,Phoenix (16),Ambush (8),"mrg
                      Mirage",GG.BET Winter Cup
27/12/19,PACT (10),SG.pro (16),"trn
                      Train",EGB Siberian Frost
27/12/19,SG.pro (16),PACT (13),"nuke
                      Nuke",EGB Siberian Frost
27/12/19,Rocketlauncher$ (16),EXTREMUM (5),"ovp
                      Overpass",GG.BET Winter Cup
27/12/19,EXTREMUM (14),Rocketlauncher$ (16),"mrg
                      Mirage",GG.BET Winter Cup
27/12/19,PACT (14),MiTH.Maple (16),"inf
                      Inferno",LBET Invitational 2
27/12/19,MiTH.Maple (13),PACT (16),"nuke
                      Nuke",LBET Invitational 2
27/12/19,PACT (14),MiTH.Maple (16),"mrg
                      Mirage",LBET Invitational 2
27/12/19,Project X (13),SKADE (16),"inf
                      Inferno",EGB Siberian Frost
27/12/19,Project X (5),SKADE (16),"nuke
                      Nuke",EGB Siberian Frost
26/12/19,maslomaslo (16),Cerberus (5),"mrg
                      Mirage",Cyber Sphere Open Cup
26/12/19,Cerberus (16),maslomaslo (9),"d2
                      Dust2",Cyber Sphere Open Cup
26/12/19,maslomaslo (16),Cerberus (7),"trn
                      Train",Cyber Sphere Open Cup
26/12/19,PACT (22),Ambush (19),"inf
                      Inferno",EGB Siberian Frost
26/12/19,PACT (16),Ambush (4),"nuke
                      Nuke",EGB Siberian Frost
26/12/19,PACT (12),Ambush (16),"trn
                      Train",EGB Siberian Frost
26/12/19,SKADE (5),Phoenix (16),"mrg
                      Mirage",GG.BET Winter Cup
26/12/19,Phoenix (16),SKADE (11),"trn
                      Train",GG.BET Winter Cup
26/12/19,Unique (12),PACT (16),"vtg
                      Vertigo",LBET Invitational 2
26/12/19,PACT (16),Unique (13),"nuke
                      Nuke",LBET Invitational 2
26/12/19,SJ (4),Ambush (16),"mrg
                      Mirage",GG.BET Winter Cup
26/12/19,SJ (7),Ambush (16),"inf
                      Inferno",GG.BET Winter Cup
26/12/19,DreamEaters (5),PACT (16),"inf
                      Inferno",EGB Siberian Frost
26/12/19,PACT (16),DreamEaters (2),"nuke
                      Nuke",EGB Siberian Frost
26/12/19,NAVI Junior (14),Invictus (16),"mrg
                      Mirage",LBET Invitational 2
26/12/19,Invictus (16),NAVI Junior (13),"inf
                      Inferno",LBET Invitational 2
26/12/19,Ambush (9),SKADE (16),"ovp
                      Overpass",EGB Siberian Frost
26/12/19,Ambush (10),SKADE (16),"d2
                      Dust2",EGB Siberian Frost
26/12/19,Ambush (16),SKADE (12),"trn
                      Train",EGB Siberian Frost
25/12/19,Brute (8),Rocketlauncher$ (16),"inf
                      Inferno",GG.BET Winter Cup
25/12/19,Brute (11),Rocketlauncher$ (16),"d2
                      Dust2",GG.BET Winter Cup
25/12/19,Rocketlauncher$ (16),Brute (19),"mrg
                      Mirage",GG.BET Winter Cup
