"","date","team1","team1_score","team2","team2_score","map","event","winner","win_margin"
"1","19/10/19","Windigo","11","HellRaisers","16","Inferno","ESL Pro League Season 10 Europe","HellRaisers",5
"2","19/10/19","HellRaisers","16","Windigo","14","Train","ESL Pro League Season 10 Europe","HellRaisers",2
"3","19/10/19","HAVU","12","CR4ZY","16","Dust2","DreamHack Open Rotterdam 2019","CR4ZY",4
"4","19/10/19","CR4ZY","5","HAVU","16","Train","DreamHack Open Rotterdam 2019","CR4ZY",11
"5","19/10/19","HAVU","10","CR4ZY","16","Inferno","DreamHack Open Rotterdam 2019","CR4ZY",6
"6","19/10/19","Natus Vincere","16","G2","13","Dust2","ESL Pro League Season 10 Europe","Natus Vincere",3
"7","19/10/19","Natus Vincere","14","G2","16","Mirage","ESL Pro League Season 10 Europe","G2",2
"8","19/10/19","Natus Vincere","16","G2","10","Overpass","ESL Pro League Season 10 Europe","Natus Vincere",6
"9","18/10/19","HellRaisers","10","G2","16","Dust2","ESL Pro League Season 10 Europe","G2",6
"10","18/10/19","HellRaisers","13","G2","16","Vertigo","ESL Pro League Season 10 Europe","G2",3
"11","18/10/19","HAVU","14","forZe","16","Nuke","DreamHack Open Rotterdam 2019","forZe",2
"12","18/10/19","Windigo","10","Natus Vincere","16","Inferno","ESL Pro League Season 10 Europe","Natus Vincere",6
"13","18/10/19","Natus Vincere","16","Windigo","7","Overpass","ESL Pro League Season 10 Europe","Windigo",9
"14","18/10/19","Heroic","14","AVANGAR","16","Inferno","DreamHack Open Rotterdam 2019","AVANGAR",2
"15","18/10/19","CR4ZY","13","HAVU","16","Dust2","DreamHack Open Rotterdam 2019","HAVU",3
"16","17/10/19","Windigo","13","G2","16","Nuke","ESL Pro League Season 10 Europe","G2",3
"17","17/10/19","Windigo","14","G2","16","Mirage","ESL Pro League Season 10 Europe","G2",2
"18","17/10/19","Heretics","12","pro100","16","Dust2","United Masters League Season 2 Qualifier 3","pro100",4
"19","17/10/19","Heretics","14","pro100","16","Vertigo","United Masters League Season 2 Qualifier 3","pro100",2
"20","17/10/19","Heretics","16","pro100","2","Inferno","United Masters League Season 2 Qualifier 3","pro100",14
"21","17/10/19","Movistar Riders","14","Heretics","16","Inferno","United Masters League Season 2 Qualifier 3","Heretics",2
"22","17/10/19","Natus Vincere","16","HellRaisers","7","Dust2","ESL Pro League Season 10 Europe","HellRaisers",9
"23","17/10/19","Natus Vincere","16","HellRaisers","7","Inferno","ESL Pro League Season 10 Europe","HellRaisers",9
"24","17/10/19","Virtus.pro","13","GamerLegion","16","Mirage","ESEA MDL Season 32 Europe","GamerLegion",3
"25","17/10/19","pro100","16","Movistar Riders","10","Train","United Masters League Season 2 Qualifier 3","pro100",6
"26","17/10/19","Renegades","12","Liquid","16","Inferno","ESL Pro League Season 10 Americas","Liquid",4
"27","17/10/19","Liquid","16","Renegades","7","Mirage","ESL Pro League Season 10 Americas","Renegades",9
"28","16/10/19","North","16","Aristocracy","0","Overpass","ESL Pro League Season 10 Europe","North",16
"29","16/10/19","Aristocracy","16","North","8","Train","ESL Pro League Season 10 Europe","North",8
"30","16/10/19","North","16","Aristocracy","12","Nuke","ESL Pro League Season 10 Europe","North",4
"31","16/10/19","BIG","3","NiP","16","Nuke","ECS Season 8 Europe Week 3","BIG",13
"32","16/10/19","NiP","9","BIG","16","Inferno","ECS Season 8 Europe Week 3","NiP",7
"33","16/10/19","BIG","8","NiP","16","Mirage","ECS Season 8 Europe Week 3","BIG",8
"34","16/10/19","CR4ZY","16","Nemiga","14","Mirage","ESEA MDL Season 32 Europe","CR4ZY",2
"35","16/10/19","pro100","16","Virtus.pro","12","Train","ESEA MDL Season 32 Europe","pro100",4
"36","16/10/19","fnatic","14","Astralis","16","Train","ESL Pro League Season 10 Europe","Astralis",2
"37","16/10/19","Astralis","16","fnatic","14","Inferno","ESL Pro League Season 10 Europe","Astralis",2
"38","16/10/19","AVANGAR","16","Illuminar","8","Mirage","ESEA MDL Season 32 Europe","Illuminar",8
"39","16/10/19","Tricked","16","CR4ZY","4","Train","ESEA MDL Season 32 Europe","CR4ZY",12
"40","16/10/19","AGO","16","Virtus.pro","9","Inferno","ESEA MDL Season 32 Europe","Virtus.pro",7
"41","16/10/19","GamerLegion","16","AVANGAR","13","Overpass","ESEA MDL Season 32 Europe","GamerLegion",3
"42","16/10/19","Heretics","9","Virtus.pro","16","Nuke","ESEA MDL Season 32 Europe","Heretics",7
"43","15/10/19","Cloud9","16","FURIA","8","Overpass","ECS Season 8 North America Week 3","FURIA",8
"44","15/10/19","Cloud9","16","FURIA","11","Train","ECS Season 8 North America Week 3","Cloud9",5
"45","15/10/19","Cloud9","12","FURIA","16","Mirage","ECS Season 8 North America Week 3","FURIA",4
"46","15/10/19","North","17","Astralis","19","Train","ESL Pro League Season 10 Europe","Astralis",2
"47","15/10/19","Astralis","16","North","8","Inferno","ESL Pro League Season 10 Europe","North",8
"48","15/10/19","Nemiga","16","Illuminar","13","Mirage","ESEA MDL Season 32 Europe","Nemiga",3
"49","15/10/19","Aristocracy","8","fnatic","16","Mirage","ESL Pro League Season 10 Europe","Aristocracy",8
"50","15/10/19","Aristocracy","16","fnatic","8","Overpass","ESL Pro League Season 10 Europe","fnatic",8
"51","15/10/19","fnatic","16","Aristocracy","11","Train","ESL Pro League Season 10 Europe","fnatic",5
"52","15/10/19","Tricked","16","Virtus.pro","5","Nuke","ESEA MDL Season 32 Europe","Virtus.pro",11
"53","15/10/19","Tricked","12","Nemiga","16","Mirage","ESEA MDL Season 32 Europe","Nemiga",4
"54","15/10/19","GamerLegion","17","Nemiga","19","Dust2","ESEA MDL Season 32 Europe","Nemiga",2
"55","15/10/19","HAVU","16","Virtus.pro","7","Train","ESEA MDL Season 32 Europe","Virtus.pro",9
"56","14/10/19","INTZ","11","Cloud9","16","Nuke","ECS Season 8 North America Week 3","Cloud9",5
"57","14/10/19","Cloud9","23","INTZ","25","Mirage","ECS Season 8 North America Week 3","INTZ",2
